Mebol, 101 FW, 101 TC, 101 TW, 102 FC, 102 FW, 102 TC, 102 TW, 103 FC, 103 FW, 103 TC, 103 TW, 104 FC, 104 FW, 104 TC, 104 TW, 105 FC, 105 FW, 105 TC, 105 TW, 110 FC, 110 FW, 110 TC, 110 TW, 111 FC, 111 FW, 111 TC, 111 TW, 112 FC, 112 FW, 112 TC, 112 TW, 113 FC, 113 FW, 113 TC, 113 TW, 114 FC, 114 FW, 114 TC, 114 TW, 124 FC, 124 FW, 124 NB FC, 124 TC, 124 TW, 125 FC, 125 FW, 125 TC, 125 TW, 126 FC, 126 FW, 126 TC, 126 TW, 127 FC, 127 FW, 127 TC, 127 TW, 128 FC, 128 FW, 128 TC, 128 TW, 201 FC, 201 FW, 201 TC, 201 TW, 202 FC, 202 FW, 202 TC, 202 TW, 203 FC, 203 FW, 203 TC, 203 TW, 204 FC, 204 FW, 204 TC, 204 TW, 205 FC, 205 FW, 205 TC, 205 TW, 210 FC, 210 FW, 210 TC, 210 TW, 211 FC, 211 FW, 211 TC, 211 TW, 212 FC, 212 FW, 212 TC, 212 TW, 213 FC, 213 FW, 213 TC, 213 TW, 214 FC, 214 FW, 214 NB FW, 214 TC, 214 TW, 215 FC, 215 FW, 215 TC, 215 TW, 216 FC, 216 FW, 216 TC, 216 TW, 217 FC, 217 FW, 217 TC, 217 TW, 218 FC, 218 FW, 218 TC, 218 TW, 219 FC, 219 FW, 219 TC, 219 TW, 226 FC, 226 FW, 226 TC, 226 TW, 227 FC, 227 FW, 227 TC, 227 TW, 228 FC, 228 FW, 228 TC, 228 TW, 229 FC, 229 FW, 229 TC, 229 TW, 230 FC, 230 FW, 230 TC, 230 TW,101 FC
MG 18:1 [M+H-H2O]+_1273,2029,NAN,1969,1612,3629,NAN,2763,NAN,3990,1288,2695,NAN,2148,NAN,1122,NAN,3569,NAN,2850,NAN,1754,1377,1656,1219,2421,NAN,1938,1242,2517,NAN,1935,NAN,2232,NAN,1353,NAN,1807,1425,1721,NAN,1266,NAN,NAN,2220,1225,1851,NAN,2428,NAN,1506,NAN,2119,NAN,1719,NAN,2130,NAN,2558,NAN,2663,NAN,3271,1056,1477,1292,1831,1006,1568,1545,1590,NAN,2116,1102,2594,1209,2610,1216,1906,NAN,1688,1559,2905,NAN,1558,1163,2796,NAN,2747,NAN,3138,NAN,2507,NAN,1914,NAN,2118,1200,2313,1569,1450,2205,1138,1127,NAN,1278,1441,2117,NAN,1974,1361,2134,NAN,1872,1636,2174,NAN,2315,1466,2198,NAN,1708,1803,3075,1352,2821,1420,3374,NAN,2501,NAN,1504,NAN,1602,NAN,2166,NAN,1441,1077,2198,NAN,2080,1165
MG 18:1 [M+H-H2O]+_2533,1492,NAN,1336,NAN,1425,NAN,1342,NAN,1298,NAN,NAN,NAN,1440,NAN,NAN,NAN,1617,NAN,1786,NAN,1227,NAN,2371,NAN,1618,NAN,1292,NAN,1190,NAN,1405,NAN,1418,NAN,NAN,NAN,1171,NAN,1248,NAN,1257,NAN,NAN,1343,NAN,1059,NAN,1593,NAN,1104,NAN,1044,NAN,1778,NAN,1271,NAN,1101,NAN,1499,NAN,2416,NAN,1202,NAN,1512,NAN,1063,NAN,1245,NAN,1754,NAN,1752,NAN,1275,NAN,NAN,NAN,1004,NAN,1240,NAN,1244,NAN,NAN,NAN,NAN,NAN,1832,NAN,1474,NAN,NAN,NAN,1054,NAN,1489,NAN,NAN,1118,NAN,1016,NAN,NAN,NAN,1267,NAN,1240,NAN,1654,NAN,1435,NAN,1343,NAN,1259,NAN,1082,NAN,NAN,NAN,1218,NAN,1318,NAN,1056,NAN,NAN,NAN,1162,NAN,1391,NAN,1413,NAN,NAN,NAN,1859,NAN,2079,NAN
MG 18:1 [M+H-H2O]+_172,63872,21996,99083,8449,12818,3573,24495,5721,22417,6365,18959,5131,10720,3670,15810,4419,19968,2298,17800,NAN,6847,NAN,5944,17243,36280,6038,33281,20250,27802,10589,26622,6944,31039,7673,14838,7356,20040,7700,17901,9676,40798,8356,5983,39056,23186,48057,12377,50726,7497,16661,4962,22147,4454,14107,4181,13392,9127,23524,3472,17181,2649,31862,5291,13850,13436,23561,4388,11823,8906,18577,2605,17268,6897,24514,4630,18169,17747,49658,7713,47631,23640,21869,4359,17486,31673,55768,11521,50886,4227,10833,2136,13098,3973,17516,3402,20725,31194,29311,14217,14833,24763,5949,17615,3006,9528,23292,48282,16700,59458,11282,20616,5745,24812,5752,13609,3409,17627,18235,34060,6001,20855,8959,32321,5411,53130,11537,15779,5027,16495,3476,23487,4111,20686,5232,24947,2926,12341,13349,25039,6398,25038,53524
MG 18:1 [M+H-H2O]+_4643,NAN,NAN,NAN,NAN,1833,NAN,1583,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1482,NAN,NAN,1055,4067,1344,2300,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1013,NAN,1332,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1261,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1195,NAN,1136,NAN,NAN,NAN,NAN,NAN,1283,NAN,1848,NAN,1205,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1629,NAN,1802,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1012,NAN
MG 18:1 [M+H-H2O]+_5150,NAN,NAN,NAN,NAN,1993,NAN,1268,NAN,1288,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1452,NAN,1034,NAN,NAN,NAN,NAN,NAN,1111,NAN,NAN,NAN,1173,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1077,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1172,NAN,NAN,NAN,1062,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1055,NAN,NAN,1066,NAN,NAN,NAN,NAN,1094,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1014,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1040,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1077,NAN,1210,NAN,1139,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1010,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_2720,NAN,NAN,NAN,NAN,2310,NAN,2488,NAN,NAN,NAN,NAN,NAN,1175,NAN,1316,NAN,1956,NAN,1505,1473,6282,2162,4021,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1433,NAN,2084,NAN,NAN,NAN,1097,NAN,1240,NAN,1207,NAN,NAN,NAN,1042,NAN,1386,NAN,NAN,NAN,NAN,NAN,1208,NAN,NAN,NAN,1190,NAN,1761,NAN,1993,NAN,NAN,NAN,1235,NAN,NAN,NAN,NAN,NAN,2114,NAN,1972,NAN,NAN,NAN,NAN,NAN,2104,NAN,2872,NAN,1613,NAN,NAN,1311,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1502,NAN,1166,NAN,2537,1017,2781,NAN,1258,NAN,NAN,NAN,1415,NAN,1551,NAN
MG 18:1 [M+H-H2O]+_6475,2227,NAN,1983,NAN,1105,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1722,NAN,1437,NAN,1144,NAN,1214,NAN,1155,NAN,NAN,NAN,NAN,NAN,1010,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1165,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1063,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1189,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1171,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_1228,2510,NAN,2376,NAN,3772,NAN,2788,NAN,3955,NAN,2249,NAN,3387,NAN,2037,NAN,3491,NAN,2297,NAN,5324,3250,6999,NAN,2850,NAN,2340,NAN,3014,NAN,2252,NAN,2130,NAN,1223,NAN,1875,NAN,1687,NAN,1656,NAN,NAN,2894,NAN,2418,NAN,2965,NAN,1968,NAN,2721,NAN,2141,NAN,2313,NAN,2196,NAN,2881,NAN,8571,NAN,1929,1251,3320,NAN,1829,NAN,2230,NAN,2597,NAN,3407,NAN,3004,NAN,2902,NAN,2774,1403,3216,NAN,2035,NAN,3234,NAN,3335,NAN,2877,NAN,1986,NAN,3038,NAN,4016,NAN,2816,4286,NAN,2132,NAN,1526,NAN,1173,NAN,3011,NAN,3092,NAN,2086,NAN,1970,NAN,2100,NAN,2105,NAN,2560,NAN,1455,NAN,2917,NAN,2761,NAN,2894,NAN,2150,NAN,3258,NAN,3296,NAN,2601,NAN,1212,NAN,2258,NAN,1767,NAN
MG 18:1 [M+H-H2O]+_5890,NAN,NAN,NAN,NAN,1225,NAN,1003,NAN,1555,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1206,NAN,1013,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1075,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1187,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1070,NAN,NAN,NAN,1138,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1050,1080,1103,1119,NAN,1222,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_2992,NAN,NAN,NAN,NAN,1010,NAN,1184,NAN,1253,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1385,NAN,NAN,1035,NAN,2297,NAN,NAN,2099,NAN,1380,NAN,1554,NAN,1287,NAN,1725,NAN,NAN,NAN,1208,NAN,NAN,NAN,1806,NAN,NAN,1527,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1552,NAN,NAN,NAN,1326,NAN,NAN,NAN,1715,NAN,1573,NAN,1867,NAN,NAN,NAN,1534,NAN,1346,NAN,2263,NAN,NAN,NAN,1154,NAN,1215,NAN,NAN,NAN,NAN,NAN,1207,NAN,1411,NAN,1292,1489,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1618,NAN,1490,NAN,1289,NAN,NAN,NAN,NAN,NAN,1171,NAN,2280,NAN,NAN,NAN,1686,NAN,1961,NAN,1207,NAN,NAN,NAN,1259,NAN,1380,NAN,1268,NAN,NAN,NAN,1168,NAN,1354,NAN
MG 18:1 [M+H-H2O]+_3447,NAN,4465,NAN,NAN,NAN,2223,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2588,NAN,1772,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2865,NAN,NAN,3261,NAN,NAN,NAN,NAN,2490,2706,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2794,NAN,5359,NAN,3540,NAN,NAN,NAN,2627,NAN,2115,NAN,1924,NAN,3017,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2674,NAN,1225,NAN,NAN,NAN,3059,NAN,2343,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1401,NAN,NAN,NAN,2614,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_5898,NAN,NAN,NAN,NAN,NAN,NAN,1224,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1015,NAN,1067,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1071,1130,NAN,NAN,1035,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1049,1074,1236,NAN,1220,NAN,NAN,NAN,1086,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1647,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1069,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1074,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1095,NAN,NAN,NAN,NAN,NAN,1007,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_736,9565,NAN,15356,3544,2459,NAN,5311,2804,3139,2420,3823,2007,1943,1384,3290,NAN,3982,NAN,4521,NAN,NAN,NAN,NAN,4859,4557,NAN,5266,6546,4205,4157,5523,2596,3074,NAN,NAN,2898,3473,2482,3483,4391,6002,3692,NAN,6149,NAN,6672,NAN,6687,3842,3619,NAN,4515,NAN,2413,NAN,3413,NAN,3912,1627,2447,1449,3028,1558,1854,1869,1446,1201,1425,3093,2587,1397,2485,3066,3630,2067,3731,2631,2949,NAN,2847,4824,2767,2028,3212,3345,3348,1839,2881,2145,2223,1516,3310,2330,3826,1710,4155,3967,2191,2274,2839,2638,2757,2671,1655,2364,3360,4080,NAN,5097,5320,4271,3347,4478,NAN,2553,NAN,2698,4121,3659,2470,3686,4060,3808,2758,6282,4213,4047,1856,3855,NAN,3065,1803,2183,NAN,4793,1628,3780,3937,4097,2720,4838,10161
MG 18:1 [M+H-H2O]+_4272,1200,NAN,NAN,NAN,1191,NAN,NAN,NAN,1181,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1142,NAN,NAN,NAN,1503,NAN,2099,NAN,1379,NAN,NAN,NAN,1381,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1384,NAN,NAN,1176,NAN,1116,NAN,1080,NAN,1308,NAN,1181,NAN,1668,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1835,NAN,NAN,NAN,1320,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1228,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1118,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1041,NAN,1251,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1170,NAN,1432,NAN,1048,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1053,NAN,NAN,NAN,1132,NAN,1064,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1075,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:1 [M+H-H2O]+_791,8173,3184,13102,1078,2087,NAN,3652,NAN,3448,NAN,2580,NAN,1630,NAN,2291,NAN,3097,NAN,2766,NAN,1005,NAN,NAN,2745,5499,1084,5614,2977,4154,1459,3981,1226,4352,1123,2199,1087,3125,1374,2769,1502,5718,1104,NAN,4906,3150,6455,1655,6103,NAN,1942,NAN,3262,NAN,2074,NAN,1673,1154,3091,NAN,2377,NAN,4421,NAN,2121,2407,3822,NAN,2177,1520,2729,NAN,2885,1043,4201,NAN,3419,2935,7811,1302,7442,3935,3656,NAN,2906,4931,8847,1946,8366,NAN,2117,NAN,2238,NAN,3092,NAN,3433,4907,4481,1803,2601,4153,1023,3086,NAN,1687,3771,7654,2560,9583,2180,3305,1008,4052,1003,2386,NAN,3050,3418,5611,1087,3477,1633,5337,1044,8179,2049,2888,NAN,2338,NAN,3508,NAN,2972,NAN,3906,NAN,2026,2123,3994,1106,4015,7039
MG 18:1 [M+H-H2O]+_1640,2003,NAN,1839,NAN,2658,NAN,2535,NAN,3075,NAN,1684,NAN,1083,NAN,NAN,NAN,1916,NAN,1500,NAN,1355,NAN,1953,NAN,2445,NAN,1755,NAN,2581,NAN,1674,NAN,1812,NAN,NAN,NAN,1619,NAN,1444,NAN,NAN,NAN,NAN,1988,NAN,1751,NAN,2521,NAN,1473,NAN,2037,NAN,1817,NAN,1268,NAN,1708,NAN,2157,NAN,4709,NAN,1543,1079,2157,NAN,1597,NAN,1732,NAN,2125,NAN,3082,NAN,2798,NAN,2324,NAN,2133,1333,2787,NAN,1029,NAN,2750,NAN,2945,NAN,2038,NAN,1571,NAN,1982,NAN,2631,NAN,2244,1251,NAN,1733,NAN,1257,NAN,1034,NAN,2580,NAN,2514,NAN,1105,NAN,1321,NAN,1756,NAN,2082,NAN,2266,NAN,1139,NAN,2296,NAN,2512,NAN,2263,NAN,1972,NAN,1360,NAN,1617,NAN,1813,NAN,NAN,NAN,1697,NAN,1365,NAN
MG 18:1 [M+H-H2O]+_1574,2354,NAN,1751,NAN,2836,NAN,2434,NAN,2144,NAN,1656,NAN,1940,NAN,NAN,NAN,1980,NAN,2049,NAN,1641,NAN,2942,1002,2776,NAN,1935,NAN,1448,NAN,1353,NAN,1907,NAN,1134,NAN,1531,NAN,1781,NAN,1926,NAN,NAN,1990,NAN,1232,NAN,1661,NAN,1561,NAN,1571,NAN,3055,NAN,2210,NAN,1530,NAN,1917,NAN,3609,NAN,1508,1421,2831,NAN,1998,NAN,2198,NAN,2352,NAN,2171,NAN,1818,NAN,1650,NAN,1610,1435,2534,NAN,2128,NAN,1199,NAN,1376,NAN,2418,NAN,2053,NAN,1412,NAN,1393,NAN,2148,1415,NAN,1359,NAN,1757,NAN,1626,NAN,2890,NAN,2563,NAN,2383,NAN,2556,NAN,1928,NAN,1953,NAN,2666,NAN,1413,NAN,2929,NAN,2583,NAN,1792,NAN,1140,NAN,1454,NAN,1720,NAN,1499,NAN,NAN,NAN,1950,NAN,2199,1049
MG 18:1 [M+H-H2O]+_5782,NAN,NAN,2523,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1327,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1379,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1535,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1203,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1642,NAN,1605,NAN,NAN,NAN,NAN,1253,1755,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1121,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1153,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1570,NAN,1219,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 18:2 [M+H-H2O]+_6934,NAN,NAN,NAN,1386,NAN,1014,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1398,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1329,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1218,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1512,NAN,1297,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1361,NAN,NAN,NAN,1487,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1072
MG 18:2 [M+H-H2O]+_2779,3216,1416,5103,1729,NAN,1017,1900,NAN,1046,NAN,1215,NAN,NAN,NAN,NAN,1244,1606,NAN,1780,NAN,NAN,NAN,NAN,1600,NAN,NAN,1344,2593,1132,1268,1349,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1432,1336,1259,NAN,1538,1435,1788,NAN,1316,1370,1228,NAN,1593,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1006,NAN,NAN,NAN,1225,NAN,NAN,NAN,1023,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1266,NAN,1050,1073,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1411,2343,1703,1338,1910,1189,NAN,NAN,NAN,1036,NAN,NAN,NAN,1440,NAN,NAN,1475,1598,1590,NAN,1321,NAN,NAN,NAN,NAN,1080,1355,NAN,NAN,1520,1147,NAN,1432,3948
MG 20:3 [M+H-H2O]+_2558,3181,1306,4389,NAN,NAN,NAN,1791,NAN,NAN,NAN,1221,NAN,NAN,NAN,1333,NAN,1201,NAN,1409,NAN,NAN,NAN,NAN,1502,1352,NAN,1614,1508,1107,1133,1331,NAN,1084,NAN,1053,NAN,NAN,NAN,NAN,NAN,1769,1125,NAN,1681,1574,2165,1113,2211,NAN,1132,NAN,1282,NAN,NAN,NAN,1283,NAN,1199,NAN,NAN,NAN,1269,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1067,NAN,1480,NAN,NAN,NAN,NAN,1413,NAN,NAN,1229,NAN,1110,NAN,1209,NAN,NAN,NAN,NAN,NAN,1001,NAN,1266,1127,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1152,1407,NAN,1893,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1009,1171,1011,NAN,1228,1091,1076,NAN,2121,NAN,1196,NAN,1098,NAN,1145,NAN,NAN,NAN,1520,NAN,1420,1261,1198,NAN,1431,2714
MG 20:4 [M+H-H2O]+_3810,NAN,1151,NAN,1138,NAN,1743,1032,NAN,NAN,NAN,NAN,NAN,NAN,1070,NAN,1646,NAN,1262,NAN,1184,NAN,NAN,NAN,NAN,NAN,1261,NAN,NAN,NAN,NAN,NAN,1487,NAN,1564,1130,1335,NAN,1136,NAN,NAN,NAN,NAN,1388,NAN,1186,NAN,1208,NAN,1100,NAN,1010,NAN,NAN,NAN,NAN,NAN,1012,NAN,1147,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1161,NAN,1115,NAN,1258,NAN,1036,NAN,1012,NAN,NAN,NAN,1042,NAN,NAN,NAN,NAN,NAN,1526,NAN,1411,NAN,1262,NAN,1440,1002,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1039,NAN,NAN,NAN,1047,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1210,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1319,NAN,NAN,NAN,1037,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 20:4 [M+H-H2O]+_4412,1297,NAN,1052,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2732,NAN,2224,NAN,1047,NAN,NAN,NAN,1284,NAN,1337,NAN,1014,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1107,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1366,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1249,NAN,1418,NAN,NAN,NAN,NAN,NAN,1340,NAN,1506,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1065,NAN,NAN,1073,NAN,NAN,NAN,NAN,1007,1372,NAN,1284,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1310,NAN,1738,NAN,1092,NAN,1107,NAN,NAN,NAN,1092,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
MG 20:4 [M+H-H2O]+_8151,1011,NAN,1400,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1259,NAN,NAN,1220,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1002,NAN,1084,NAN,1200,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1214,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
